i,запускающий,самолет,модель,изготовитель,угол,номер_запуска,дальность,отклонение
0,1,7,1,1,0,1,22.33,3.5
1,1,7,1,1,0,2,21.0,2.5
2,1,7,1,1,0,3,14.7,2.7
3,1,7,1,1,30,4,23.15,0.2
4,1,7,1,1,30,5,20.0,2.6
5,1,7,1,1,30,6,10.9,2.5
6,1,8,2,1,0,7,,
7,1,8,2,1,0,8,,
8,1,8,2,1,0,9,,
9,1,8,2,1,30,10,,
10,1,8,2,1,30,11,,
11,1,8,2,1,30,12,,
12,1,9,3,1,0,13,15.5,1.6
13,1,9,3,1,0,14,23.0,4.0
14,1,9,3,1,0,15,20.0,4.0
15,1,9,3,1,30,16,24.1,5.0
16,1,9,3,1,30,17,14.0,3.0
17,1,9,3,1,30,18,18.5,2.0
18,1,10,1,2,0,19,,
19,1,10,1,2,0,20,,
20,1,10,1,2,0,21,,
21,1,10,1,2,30,22,,
22,1,10,1,2,30,23,,
23,1,10,1,2,30,24,,
24,1,11,2,2,0,25,,
25,1,11,2,2,0,26,,
26,1,11,2,2,0,27,,
27,1,11,2,2,30,28,,
28,1,11,2,2,30,29,,
29,1,11,2,2,30,30,,
30,1,12,3,2,0,31,16.0,2.0
31,1,12,3,2,0,32,17.0,1.0
32,1,12,3,2,0,33,15.4,2.1
33,1,12,3,2,30,34,16.3,3.0
34,1,12,3,2,30,35,12.0,3.0
35,1,12,3,2,30,36,13.4,2.7
36,2,7,1,1,0,37,,
37,2,7,1,1,0,38,,
38,2,7,1,1,0,39,,
39,2,7,1,1,30,40,,
40,2,7,1,1,30,41,,
41,2,7,1,1,30,42,,
42,2,8,2,1,0,43,,
43,2,8,2,1,0,44,,
44,2,8,2,1,0,45,,
45,2,8,2,1,30,46,,
46,2,8,2,1,30,47,,
47,2,8,2,1,30,48,,
48,2,9,3,1,0,49,23.5,0.3
49,2,9,3,1,0,50,14.5,3.0
50,2,9,3,1,0,51,20.25,1.75
51,2,9,3,1,30,52,16.6,1.6
52,2,9,3,1,30,53,18.5,0.5
53,2,9,3,1,30,54,15.0,1.5
54,2,10,1,2,0,55,18.5,2.0
55,2,10,1,2,0,56,19.5,2.5
56,2,10,1,2,0,57,16.1,1.7
57,2,10,1,2,30,58,13.6,1.5
58,2,10,1,2,30,59,,
59,2,10,1,2,30,60,,
60,2,11,2,2,0,61,,
61,2,11,2,2,0,62,,
62,2,11,2,2,0,63,,
63,2,11,2,2,30,64,,
64,2,11,2,2,30,65,,
65,2,11,2,2,30,66,,
66,2,12,3,2,0,67,15.5,3.0
67,2,12,3,2,0,68,20.0,1.7
68,2,12,3,2,0,69,16.7,2.3
69,2,12,3,2,30,70,15.05,2.4
70,2,12,3,2,30,71,14.9,0.3
71,2,12,3,2,30,72,16.8,2.7
