i,Запускающий,Номер самолёта,Модель,Изготовитель,Угол запуска,Номер запуска,Дальность,Отклонение
0,1,7,1,1,0,1,669.9,105.0
1,1,7,1,1,0,2,630.0,75.0
2,1,7,1,1,0,3,441.0,81.0
3,1,7,1,1,30,4,694.5,6.0
4,1,7,1,1,30,5,600.0,78.0
5,1,7,1,1,30,6,327.0,75.0
6,1,8,2,1,0,7,,
7,1,8,2,1,0,8,,
8,1,8,2,1,0,9,,
9,1,8,2,1,30,10,,
10,1,8,2,1,30,11,,
11,1,8,2,1,30,12,,
12,1,9,3,1,0,13,465.0,48.0
13,1,9,3,1,0,14,690.0,120.0
14,1,9,3,1,0,15,600.0,120.0
15,1,9,3,1,30,16,723.0,150.0
16,1,9,3,1,30,17,420.0,90.0
17,1,9,3,1,30,18,555.0,60.0
18,1,10,1,2,0,19,540,70
19,1,10,1,2,0,20,490,88
20,1,10,1,2,0,21,503,67
21,1,10,1,2,30,22,450,100
22,1,10,1,2,30,23,390,40
23,1,10,1,2,30,24,360,60
24,1,11,2,2,0,25,,
25,1,11,2,2,0,26,,
26,1,11,2,2,0,27,,
27,1,11,2,2,30,28,,
28,1,11,2,2,30,29,,
29,1,11,2,2,30,30,,
30,1,12,3,2,0,31,480.0,60.0
31,1,12,3,2,0,32,510.0,30.0
32,1,12,3,2,0,33,462.0,63.0
33,1,12,3,2,30,34,489.0,90.0
34,1,12,3,2,30,35,360.0,90.0
35,1,12,3,2,30,36,402.0,81.0
36,2,7,1,1,0,37,590,85
37,2,7,1,1,0,38,607,90
38,2,7,1,1,0,39,495,79
39,2,7,1,1,30,40,543,60
40,2,7,1,1,30,41,650,90
41,2,7,1,1,30,42,620,70
42,2,8,2,1,0,43,,
43,2,8,2,1,0,44,,
44,2,8,2,1,0,45,,
45,2,8,2,1,30,46,,
46,2,8,2,1,30,47,,
47,2,8,2,1,30,48,,
48,2,9,3,1,0,49,705.0,9.0
49,2,9,3,1,0,50,435.0,90.0
50,2,9,3,1,0,51,607.5,52.5
51,2,9,3,1,30,52,498.00000000000006,48.0
52,2,9,3,1,30,53,555.0,15.0
53,2,9,3,1,30,54,450.0,45.0
54,2,10,1,2,0,55,555.0,60.0
55,2,10,1,2,0,56,585.0,75.0
56,2,10,1,2,0,57,483.00000000000006,51.0
57,2,10,1,2,30,58,408.0,45.0
58,2,10,1,2,30,59,402,56
59,2,10,1,2,30,60,385,60
60,2,11,2,2,0,61,,
61,2,11,2,2,0,62,,
62,2,11,2,2,0,63,,
63,2,11,2,2,30,64,,
64,2,11,2,2,30,65,,
65,2,11,2,2,30,66,,
66,2,12,3,2,0,67,465.0,90.0
67,2,12,3,2,0,68,600.0,51.0
68,2,12,3,2,0,69,501.0,69.0
69,2,12,3,2,30,70,451.5,72.0
70,2,12,3,2,30,71,447.0,9.0
71,2,12,3,2,30,72,504.0,81.0
